"","term_id","source","term_name","p_value","term_size","query_size","intersection_size","precision","recall","effective_domain_size","source_order"
"1","GO:0005198","GO:MF","structural molecule activity",2.1082977475152e-29,236,737,92,0.12483039348711,0.389830508474576,7061,1712
"2","GO:0043228","GO:CC","non-membrane-bounded organelle",6.40141261988501e-29,381,512,109,0.212890625,0.286089238845144,5690,2150
"3","GO:0043232","GO:CC","intracellular non-membrane-bounded organelle",6.40141261988501e-29,381,512,109,0.212890625,0.286089238845144,5690,2154
"4","GO:0005840","GO:CC","ribosome",6.40141261988501e-29,121,512,59,0.115234375,0.487603305785124,5690,497
"5","GO:0003735","GO:MF","structural constituent of ribosome",7.28408965885898e-24,120,737,58,0.0786974219810041,0.483333333333333,7061,457
"6","GO:0043043","GO:BP","peptide biosynthetic process",1.24212504345696e-20,215,538,74,0.137546468401487,0.344186046511628,5356,12201
"7","GO:0006412","GO:BP","translation",1.24212504345696e-20,211,538,73,0.135687732342007,0.345971563981043,5356,2436
"8","GO:0006518","GO:BP","peptide metabolic process",1.88922631870295e-20,230,538,76,0.141263940520446,0.330434782608696,5356,2526
"9","GO:0043604","GO:BP","amide biosynthetic process",1.88922631870295e-20,224,538,75,0.139405204460967,0.334821428571429,5356,12533
"10","GO:0043603","GO:BP","cellular amide metabolic process",7.67643812791675e-20,257,538,80,0.148698884758364,0.311284046692607,5356,12532
"11","GO:0006082","GO:BP","organic acid metabolic process",5.67354826208184e-18,224,538,71,0.131970260223048,0.316964285714286,5356,2142
"12","GO:0043436","GO:BP","oxoacid metabolic process",5.86049895504547e-17,222,538,69,0.128252788104089,0.310810810810811,5356,12415
"13","GO:0019752","GO:BP","carboxylic acid metabolic process",2.07575430097444e-16,179,538,60,0.111524163568773,0.335195530726257,5356,7009
"14","GO:0044281","GO:BP","small molecule metabolic process",3.13712511219776e-16,417,538,100,0.185873605947955,0.239808153477218,5356,12817
"15","GO:1901566","GO:BP","organonitrogen compound biosynthetic process",3.04565672666915e-14,485,538,106,0.197026022304833,0.218556701030928,5356,24866
"16","GO:0005622","GO:CC","intracellular",1.80939444010619e-13,1690,512,232,0.453125,0.137278106508876,5690,299
"17","GO:1901564","GO:BP","organonitrogen compound metabolic process",3.79564974812666e-13,1896,538,274,0.509293680297398,0.144514767932489,5356,24864
"18","GO:0006091","GO:BP","generation of precursor metabolites and energy",1.25589356196263e-12,102,538,39,0.0724907063197026,0.382352941176471,5356,2150
"19","GO:0046034","GO:BP","ATP metabolic process",7.59783953447275e-11,47,538,24,0.0446096654275093,0.51063829787234,5356,13856
"20","GO:0005737","GO:CC","cytoplasm",1.05813601352788e-09,684,512,112,0.21875,0.16374269005848,5690,402
"21","GO:0055114","GO:BP","oxidation-reduction process",1.3771007925349e-09,401,538,83,0.154275092936803,0.206982543640898,5356,16956
"22","GO:0016469","GO:CC","proton-transporting two-sector ATPase complex",2.24250635405533e-09,34,512,18,0.03515625,0.529411764705882,5690,893
"23","GO:0008152","GO:BP","metabolic process",2.38810458562693e-09,3659,538,432,0.802973977695167,0.118065045094288,5356,3566
"24","GO:0043229","GO:CC","intracellular organelle",6.34943622964556e-09,1392,512,186,0.36328125,0.133620689655172,5690,2151
"25","GO:0043226","GO:CC","organelle",2.78357631015736e-08,1427,512,187,0.365234375,0.13104414856342,5690,2148
"26","GO:0044391","GO:CC","ribosomal subunit",5.37137792588244e-08,32,512,16,0.03125,0.5,5690,2355
"27","GO:0005975","GO:BP","carbohydrate metabolic process",1.69882211405997e-07,121,538,35,0.0650557620817844,0.289256198347107,5356,2037
"28","GO:0006096","GO:BP","glycolytic process",4.51660884758156e-07,18,538,12,0.0223048327137546,0.666666666666667,5356,2152
"29","GO:0006757","GO:BP","ATP generation from ADP",4.51660884758156e-07,18,538,12,0.0223048327137546,0.666666666666667,5356,2754
"30","GO:0016491","GO:MF","oxidoreductase activity",5.13118721803003e-07,364,737,75,0.101763907734057,0.206043956043956,7061,3583
