"","term_id","source","term_name","p_value","term_size","query_size","intersection_size","precision","recall","effective_domain_size","source_order"
"1","GO:0005198","GO:MF","structural molecule activity",9.46712879577789e-30,237,657,93,0.141552511415525,0.392405063291139,6205,1712
"2","GO:0043228","GO:CC","non-membrane-bounded organelle",4.19029694954206e-23,370,449,95,0.211581291759465,0.256756756756757,5284,2150
"3","GO:0043232","GO:CC","intracellular non-membrane-bounded organelle",4.19029694954206e-23,370,449,95,0.211581291759465,0.256756756756757,5284,2154
"4","GO:0005840","GO:CC","ribosome",3.3796692608227e-20,123,449,49,0.10913140311804,0.398373983739837,5284,497
"5","GO:0003735","GO:MF","structural constituent of ribosome",2.64038357141554e-15,123,657,49,0.0745814307458143,0.398373983739837,6205,457
"6","GO:0006412","GO:BP","translation",1.01585171660214e-14,214,465,63,0.135483870967742,0.294392523364486,4876,2436
"7","GO:0006518","GO:BP","peptide metabolic process",1.01585171660214e-14,231,465,66,0.141935483870968,0.285714285714286,4876,2526
"8","GO:0043043","GO:BP","peptide biosynthetic process",1.88290974343606e-14,218,465,63,0.135483870967742,0.288990825688073,4876,12201
"9","GO:0043603","GO:BP","cellular amide metabolic process",4.56070869474415e-14,259,465,69,0.148387096774194,0.266409266409266,4876,12532
"10","GO:0043604","GO:BP","amide biosynthetic process",1.01273815842933e-13,227,465,63,0.135483870967742,0.277533039647577,4876,12533
"11","GO:0019752","GO:BP","carboxylic acid metabolic process",5.20409795964131e-13,176,465,53,0.113978494623656,0.301136363636364,4876,7009
"12","GO:0006082","GO:BP","organic acid metabolic process",9.41740615715788e-13,220,465,60,0.129032258064516,0.272727272727273,4876,2142
"13","GO:0043436","GO:BP","oxoacid metabolic process",2.07157006536978e-12,218,465,59,0.126881720430108,0.270642201834862,4876,12415
"14","GO:0055114","GO:BP","oxidation-reduction process",3.47363194323294e-12,358,465,80,0.172043010752688,0.223463687150838,4876,16956
"15","GO:0044281","GO:BP","small molecule metabolic process",1.70821073439958e-11,404,465,85,0.182795698924731,0.21039603960396,4876,12817
"16","GO:0016469","GO:CC","proton-transporting two-sector ATPase complex",2.54237419768291e-11,36,449,20,0.044543429844098,0.555555555555556,5284,893
"17","GO:1901566","GO:BP","organonitrogen compound biosynthetic process",7.1390775047995e-11,481,465,94,0.202150537634409,0.195426195426195,4876,24866
"18","GO:0042302","GO:MF","structural constituent of cuticle",1.96793406388031e-10,64,657,29,0.0441400304414003,0.453125,6205,6692
"19","GO:0008152","GO:BP","metabolic process",9.85873001409574e-10,3257,465,373,0.802150537634409,0.114522566779245,4876,3566
"20","GO:0016491","GO:MF","oxidoreductase activity",1.67235137239076e-09,323,657,75,0.114155251141553,0.232198142414861,6205,3583
"21","GO:0046034","GO:BP","ATP metabolic process",1.17981353971544e-08,46,465,21,0.0451612903225806,0.456521739130435,4876,13856
"22","GO:0033178","GO:CC","proton-transporting two-sector ATPase complex, catalytic domain",2.00595929121837e-08,17,449,12,0.0267260579064588,0.705882352941177,5284,1646
"23","GO:0005622","GO:CC","intracellular",2.11456217572039e-08,1637,449,198,0.44097995545657,0.120952962736714,5284,299
"24","GO:1901564","GO:BP","organonitrogen compound metabolic process",3.41282569741968e-07,1804,465,230,0.494623655913978,0.127494456762749,4876,24864
"25","GO:0006091","GO:BP","generation of precursor metabolites and energy",5.92420935980361e-07,97,465,29,0.0623655913978495,0.298969072164948,4876,2150
"26","GO:0005856","GO:CC","cytoskeleton",1.19040593509099e-06,141,449,33,0.0734966592427617,0.234042553191489,5284,509
"27","GO:0044391","GO:CC","ribosomal subunit",2.05233454115992e-06,32,449,14,0.0311804008908686,0.4375,5284,2355
"28","GO:0005737","GO:CC","cytoplasm",2.05233454115992e-06,669,449,95,0.211581291759465,0.142002989536622,5284,402
"29","GO:0033176","GO:CC","proton-transporting V-type ATPase complex",2.51459075462516e-06,24,449,12,0.0267260579064588,0.5,5284,1644
"30","GO:0005576","GO:CC","extracellular region",3.06492710838176e-06,208,449,41,0.0913140311804009,0.197115384615385,5284,256
"31","GO:0006520","GO:BP","cellular amino acid metabolic process",5.82768715848847e-06,113,465,30,0.0645161290322581,0.265486725663717,4876,2527
"32","GO:0032787","GO:BP","monocarboxylic acid metabolic process",5.82768715848847e-06,57,465,20,0.043010752688172,0.350877192982456,4876,9094
"33","GO:0005975","GO:BP","carbohydrate metabolic process",1.31283632578542e-05,111,465,29,0.0623655913978495,0.261261261261261,4876,2037
"34","GO:0043226","GO:CC","organelle",1.62223646828302e-05,1378,449,161,0.358574610244989,0.116835994194485,5284,2148
"35","GO:0043229","GO:CC","intracellular organelle",1.62223646828302e-05,1345,449,158,0.351893095768374,0.117472118959108,5284,2151
"36","GO:0000786","GO:CC","nucleosome",2.67849215876177e-05,25,449,11,0.0244988864142539,0.44,5284,112
"37","GO:0044815","GO:CC","DNA packaging complex",2.67849215876177e-05,25,449,11,0.0244988864142539,0.44,5284,2438
"38","GO:0032993","GO:CC","protein-DNA complex",2.67849215876177e-05,25,449,11,0.0244988864142539,0.44,5284,1592
"39","GO:0099512","GO:CC","supramolecular fiber",2.6965656924591e-05,51,449,16,0.0356347438752784,0.313725490196078,5284,3815
"40","GO:0099081","GO:CC","supramolecular polymer",2.6965656924591e-05,51,449,16,0.0356347438752784,0.313725490196078,5284,3785
"41","GO:0045259","GO:CC","proton-transporting ATP synthase complex",3.00405196688644e-05,10,449,7,0.0155902004454343,0.7,5284,2488
"42","GO:0099080","GO:CC","supramolecular complex",5.61291687799112e-05,54,449,16,0.0356347438752784,0.296296296296296,5284,3784
"43","GO:0033180","GO:CC","proton-transporting V-type ATPase, V1 domain",6.92839171142903e-05,11,449,7,0.0155902004454343,0.636363636363636,5284,1648
"44","GO:0009144","GO:BP","purine nucleoside triphosphate metabolic process",8.78014024223655e-05,12,465,8,0.0172043010752688,0.666666666666667,4876,3778
"45","GO:0046939","GO:BP","nucleotide phosphorylation",8.78014024223655e-05,19,465,10,0.021505376344086,0.526315789473684,4876,14578
"46","GO:0009145","GO:BP","purine nucleoside triphosphate biosynthetic process",8.78014024223655e-05,12,465,8,0.0172043010752688,0.666666666666667,4876,3779
"47","GO:0006165","GO:BP","nucleoside diphosphate phosphorylation",8.78014024223655e-05,19,465,10,0.021505376344086,0.526315789473684,4876,2215
"48","GO:0009206","GO:BP","purine ribonucleoside triphosphate biosynthetic process",8.78014024223655e-05,12,465,8,0.0172043010752688,0.666666666666667,4876,3839
"49","GO:0009205","GO:BP","purine ribonucleoside triphosphate metabolic process",8.78014024223655e-05,12,465,8,0.0172043010752688,0.666666666666667,4876,3838
"50","GO:0015629","GO:CC","actin cytoskeleton",9.31592760018029e-05,39,449,13,0.0289532293986637,0.333333333333333,5284,855
"51","GO:0016052","GO:BP","carbohydrate catabolic process",0.000148374204401606,24,465,11,0.0236559139784946,0.458333333333333,4876,5702
"52","GO:0015935","GO:CC","small ribosomal subunit",0.000151296581994971,16,449,8,0.0178173719376392,0.5,5284,858
"53","GO:0006096","GO:BP","glycolytic process",0.000240995361926945,17,465,9,0.0193548387096774,0.529411764705882,4876,2152
"54","GO:0006757","GO:BP","ATP generation from ADP",0.000240995361926945,17,465,9,0.0193548387096774,0.529411764705882,4876,2754
"55","GO:0045261","GO:CC","proton-transporting ATP synthase complex, catalytic core F(1)",0.000418438968180473,4,449,4,0.0089086859688196,1,5284,2490
"56","GO:0044282","GO:BP","small molecule catabolic process",0.000429439716822473,36,465,13,0.0279569892473118,0.361111111111111,4876,12818
"57","GO:1901575","GO:BP","organic substance catabolic process",0.00043024558188401,197,465,38,0.0817204301075269,0.192893401015228,4876,24874
"58","GO:0006754","GO:BP","ATP biosynthetic process",0.000447962161890115,11,465,7,0.0150537634408602,0.636363636363636,4876,2751
"59","GO:0015986","GO:BP","ATP synthesis coupled proton transport",0.000447962161890115,11,465,7,0.0150537634408602,0.636363636363636,4876,5678
"60","GO:0015985","GO:BP","energy coupled proton transport, down electrochemical gradient",0.000447962161890115,11,465,7,0.0150537634408602,0.636363636363636,4876,5677
"61","GO:1901605","GO:BP","alpha-amino acid metabolic process",0.00051619278762859,53,465,16,0.0344086021505376,0.30188679245283,4876,24897
"62","GO:0009060","GO:BP","aerobic respiration",0.000523946925686726,23,465,10,0.021505376344086,0.434782608695652,4876,3698
"63","GO:0006099","GO:BP","tricarboxylic acid cycle",0.000523946925686726,23,465,10,0.021505376344086,0.434782608695652,4876,2155
"64","GO:0009201","GO:BP","ribonucleoside triphosphate biosynthetic process",0.000545109899029111,15,465,8,0.0172043010752688,0.533333333333333,4876,3834
"65","GO:0009199","GO:BP","ribonucleoside triphosphate metabolic process",0.000545109899029111,15,465,8,0.0172043010752688,0.533333333333333,4876,3832
"66","GO:0046031","GO:BP","ADP metabolic process",0.000546259908179682,19,465,9,0.0193548387096774,0.473684210526316,4876,13853
"67","GO:0015980","GO:BP","energy derivation by oxidation of organic compounds",0.000562247010043276,43,465,14,0.0301075268817204,0.325581395348837,4876,5672
"68","GO:0015078","GO:MF","proton transmembrane transporter activity",0.000581566763789951,54,657,18,0.0273972602739726,0.333333333333333,6205,2933
"69","GO:0005509","GO:MF","calcium ion binding",0.000649640444914227,141,657,33,0.0502283105022831,0.234042553191489,6205,1895
"70","GO:0009132","GO:BP","nucleoside diphosphate metabolic process",0.000719681904422227,24,465,10,0.021505376344086,0.416666666666667,4876,3766
"71","GO:0099513","GO:CC","polymeric cytoskeletal fiber",0.000753932744625971,47,449,13,0.0289532293986637,0.276595744680851,5284,3816
