"","term_id","source","term_name","p_value","term_size","query_size","intersection_size","precision","recall","effective_domain_size","source_order"
"1","GO:0005198","GO:MF","structural molecule activity",1.85884435068823e-27,243,701,92,0.131241084165478,0.378600823045267,6552,1712
"2","GO:0005576","GO:CC","extracellular region",1.73602442831773e-14,186,466,54,0.11587982832618,0.290322580645161,5503,256
"3","GO:0043228","GO:CC","non-membrane-bounded organelle",2.49156728757459e-14,502,466,97,0.208154506437768,0.193227091633466,5503,2150
"4","GO:0043232","GO:CC","intracellular non-membrane-bounded organelle",2.49156728757459e-14,502,466,97,0.208154506437768,0.193227091633466,5503,2154
"5","GO:0005581","GO:CC","collagen trimer",2.49156728757459e-14,82,466,34,0.0729613733905579,0.414634146341463,5503,260
"6","GO:0005840","GO:CC","ribosome",3.27987191742065e-13,155,466,46,0.0987124463519313,0.296774193548387,5503,497
"7","GO:0042302","GO:MF","structural constituent of cuticle",8.53032363902342e-13,64,701,32,0.0456490727532097,0.5,6552,6692
"8","GO:0006082","GO:BP","organic acid metabolic process",1.31137682146233e-12,234,532,66,0.12406015037594,0.282051282051282,5290,2142
"9","GO:0043436","GO:BP","oxoacid metabolic process",1.59670063291881e-12,232,532,65,0.12218045112782,0.280172413793103,5290,12415
"10","GO:0055114","GO:BP","oxidation-reduction process",5.70370833030425e-12,371,532,86,0.161654135338346,0.231805929919137,5290,16956
"11","GO:0019752","GO:BP","carboxylic acid metabolic process",1.26763227799696e-11,192,532,56,0.105263157894737,0.291666666666667,5290,7009
"12","GO:0003735","GO:MF","structural constituent of ribosome",7.27328205544581e-11,123,701,43,0.0613409415121255,0.349593495934959,6552,457
"13","GO:0016491","GO:MF","oxidoreductase activity",8.0993427504109e-11,338,701,81,0.115549215406562,0.239644970414201,6552,3583
"14","GO:0004867","GO:MF","serine-type endopeptidase inhibitor activity",9.47499385492221e-11,31,701,20,0.0285306704707561,0.645161290322581,6552,1436
"15","GO:0044281","GO:BP","small molecule metabolic process",1.44730470041213e-09,431,532,89,0.167293233082707,0.206496519721578,5290,12817
"16","GO:1901566","GO:BP","organonitrogen compound biosynthetic process",1.46790714109286e-08,568,532,105,0.197368421052632,0.184859154929577,5290,24866
"17","GO:0004866","GO:MF","endopeptidase inhibitor activity",5.50368427928671e-07,49,701,21,0.0299572039942939,0.428571428571429,6552,1435
"18","GO:0061135","GO:MF","endopeptidase regulator activity",5.50368427928671e-07,49,701,21,0.0299572039942939,0.428571428571429,6552,9677
"19","GO:0044815","GO:CC","DNA packaging complex",6.01756349409155e-07,33,466,15,0.0321888412017167,0.454545454545455,5503,2438
"20","GO:0000786","GO:CC","nucleosome",6.01756349409155e-07,33,466,15,0.0321888412017167,0.454545454545455,5503,112
"21","GO:0032991","GO:CC","protein-containing complex",6.12476035002603e-07,821,466,113,0.242489270386266,0.137637028014616,5503,1590
"22","GO:0052548","GO:BP","regulation of endopeptidase activity",6.2325983979211e-07,50,532,21,0.0394736842105263,0.42,5290,16809
"23","GO:0010951","GO:BP","negative regulation of endopeptidase activity",6.2325983979211e-07,50,532,21,0.0394736842105263,0.42,5290,5112
"24","GO:0032993","GO:CC","protein-DNA complex",6.95898748983746e-07,34,466,15,0.0321888412017167,0.441176470588235,5503,1592
"25","GO:0062023","GO:CC","collagen-containing extracellular matrix",6.95898748983746e-07,18,466,11,0.0236051502145923,0.611111111111111,5503,2706
"26","GO:0061134","GO:MF","peptidase regulator activity",1.46538853723546e-06,56,701,22,0.0313837375178317,0.392857142857143,6552,9676
"27","GO:0052547","GO:BP","regulation of peptidase activity",1.55287077912609e-06,57,532,22,0.0413533834586466,0.385964912280702,5290,16808
"28","GO:0030414","GO:MF","peptidase inhibitor activity",2.29676146567567e-06,53,701,21,0.0299572039942939,0.39622641509434,6552,4899
"29","GO:0045861","GO:BP","negative regulation of proteolysis",2.37706264389419e-06,54,532,21,0.0394736842105263,0.388888888888889,5290,13697
"30","GO:0010466","GO:BP","negative regulation of peptidase activity",2.37706264389419e-06,54,532,21,0.0394736842105263,0.388888888888889,5290,4688
"31","GO:0008152","GO:BP","metabolic process",2.38340828651531e-06,3468,532,405,0.761278195488722,0.116782006920415,5290,3566
